id,program_name,category_primary,category_secondary,description,url_pdf,age_min,age_max,income_type,income_max,household_size,residence_required,employment_status,house_type,special_conditions,support_type,support_amount,support_duration,support_details,application_period,how_to_apply,contact,difficulty_level,
13,국민기초생활수급자 수도요금 감면,생활·금융,수도요금지원,국민기초생활수급자에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,,,기초생활수급자,,,서울,,,국민기초생활보장법에 따른 수급권자. 동일 내용 감면 중복 적용 불가.,요금감면,세대당 월 사용량의 최대 10m³ 감면,연중 계속,월 사용량 10m³ 미만 시 실제 사용량 감면,연중 수시,동 주민센터 방문 신청 / 서울아리수홈페이지 온라인 신청,서울아리수본부 콜센터,2,
14,중증장애인 수도요금 감면,생활·금융,수도요금지원,장애의 정도가 심한 장애인에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,,,,,,서울,,,장애인복지법에 따른 장애의 정도가 심한 장애인. 동일 내용 감면 중복 적용 불가.,요금감면,세대당 월 사용량의 최대 10m³ 감면,연중 계속,월 사용량 10m³ 미만 시 실제 사용량 감면,연중 수시,동 주민센터 방문 신청 / 서울아리수홈페이지 온라인 신청,서울아리수본부 콜센터,2,
16,한부모 하수도사용료 감면,생활·금융,하수도요금지원,한부모가족 복지급여 대상자에게 하수도 사용료 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,,,,,,서울,,,한부모가족지원법에 따른 복지급여 지원 대상자. 변경 사유 발생 시 신고 필수.,요금감면,세대당 월 하수도 사용량의 최대 10m³ 감면,연중 계속,하수도 사용량 10m³ 미만 시 실제 사용량 감면,연중 수시,주민센터 신청,서울아리수본부 콜센터,2,
17,다자녀 하수도사용료 감면,생활·금융,하수도요금지원,동일세대 내 만 18세 이하 자녀 3명 이상 가구 하수도 사용료 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,0.0,18.0,,,4인 이상,서울,,,동일세대 내 만 18세 이하 미성년 자녀가 3명 이상인 가구. 변경 사유 발생 시 신고 필수.,요금감면,하수도사용료의 30% 감면 (가정용),연중 계속,하수도 사용료 30% 감면,연중 수시,주민센터 신청,서울아리수본부 콜센터,2,
18,전자고지 수도요금 감면,생활·금융,수도요금지원,전자고지 신청 사용자에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,,,,,,서울,,,전자고지를 신청한 수도사용자. 사용자 변경 시 해제 신청 필수.,요금감면,"상수도요금의 1% (200원 ~ 1,000원)",연중 계속,상수도 요금의 1% 감면,연중 수시,수도사업소 신청 / 서울아리수홈페이지 온라인 신청,서울아리수본부 콜센터,1,
19,희망온돌 위기긴급기금(취약계층 위기가구 지원),생활·금융,위기가구지원,"복지 사각지대 위기가구에 생계비·주거비·의료비 등 긴급 지원(현금지원 원칙, 예외적 현물 가능/업체대납 원칙)",https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=87,,,중위소득,120,,서울,,,"(원칙) 서울거주·중위소득 120% 이하 위기(또는 위기 위험) 취약계층. (참고) 수급권자는 동일 항목 지원 지양(긴급 시 1가구 1항목 최대 100만원 가능), 노숙인·저소득 외국인 등은 안내 기준에 따라 가능",현금지원(업체대납원칙)/현물(예외),"1가구 1항목 100만원 이하(의료비: 1인 100만원, 최대 300만원/가구)",일시지원(신청시),생계비(현금/쌀/부식/생필품 등)·주거비(고시원/월세/관리비/냉난방비 등)·의료비(치료비/약값/진단비)·기타긴급(집수리 등) 지원. 항목 간 중복은 지양,연중 상시,거주지역 지역복지관(희망온돌 거점기관) 또는 동주민센터 방문/전화,02-2133-7397 / 서울시사회복지관협회 070-4652-5884,4,
20,희망온돌 위기긴급기금(서울형 임차보증금 지원),생활·금융,주거위기(임차보증금),주거위기 취약계층의 긴급 주거비(임차보증금 등) 지원(복지재단→임대인 지급 구조),https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=90,,,중위소득,120,,서울,,,주거위기사유 발생 취약계층 가구(기준 중위소득 120% 이하) 임차보증금 지원,현금지원(임대인 대납),임차보증금 등 긴급 주거비 600만원 이내,일시지원(신청시),신청(거점기관/자치구/동주민센터) → 자치구 검토 → 복지재단 솔루션위원회 심사·선정 → 지원(복지재단→임대인) → 모니터링(신청기관). 서류: 신청서/현 거주지 계약서/개인정보동의/등본/소득증빙 + (해당) 주거상태·부채·위기증빙,연중 상시,자치구·동주민센터·거주지 지역복지관(희망온돌 거점기관) 방문 또는 전화,서울시복지재단 02-6353-0354 / 02-2133-7397,4,
21,청년 자립토대 지원,생활·금융,개인회생지원,개인회생 청년 재무역량 강화 프로그램+자립토대지원금 지원,https://wis.seoul.go.kr/was/ssy/selfRelianceInfo.do,19.0,39.0,중위소득,140,,서울,취업자,,"서울시 주민등록 거주 + 중위소득 140% 이하 + 개인회생(3개월 이내 변제완료 예정 또는 1년 이내 면책/변제완료 등 공고 기준) + (공고문) 변제금 3회 이상 미납 제한, 제대군인 연령 연장(최대 3년)",현금+교육,자립토대지원금 100만원(50만원×2회)+금융교육 2회+맞춤형 재무상담 3회,사업기간/회차별 운영,재무역량 강화 맞춤형 프로그램(금융교육·1:1 재무상담) 이수 후 지원금 지급,공고/회차별(연 1~2회 운영 사례),서울복지포털 온라인 신청(wis.seoul.go.kr),서울시 복지정책과 02-2133-7332 / 서울시복지재단 02-6353-9103 / 다산콜 120,4,
22,자가검침 수도요금 감면,생활·금융,수도요금지원,자가검침을 신청한 사용자에게 상수도 요금 감면,https://arisu.seoul.go.kr,,,,,,서울,,,자가검침을 신청한 수도사용자. 2회 납기 미입력 시 직권 해지 가능.,요금감면,1회 납기 당 600원 감면,연중 계속,직접 검침하여 지침을 ARS나 모바일 앱으로 입력 시 혜택 제공,연중 수시,수도사업소 신청 / 서울아리수홈페이지 온라인 신청,"중부수도사업소 (종로구,중구,용산구,성북구)	02-3146-2000
서부수도사업소 (은평구, 서대문구, 마포구)	02-3146-3500
동부수도사업소 (성동구, 광진구, 중랑구, 동대문구)	02-3146-2600
북부수도사업소 (노원구, 강북구, 도봉구)	02-3146-3200
강서수도사업소 (양천구, 강서구, 구로구)	02-3146-3800
남부수도사업소 (관악구, 동작구, 영등포구, 금천구)	02-3146-4400
강남수도사업소 (서초구, 강남구)	02-3146-4700
강동수도사업소 (송파구, 강동구)	02-3146-5000
광암아리수정수센터	02-3146-5300
구의아리수정수센터	02-3146-5400
뚝도아리수정수센터	02-3146-5500
영등포아리수정수센터	02-3146-5600
암사아리수정수센터	02-3146-5700
강북아리수정수센터	02-3146-5800
수도자재관리센터	02-3146-1900
서울물연구원	02-3146-1700",2,
23,긴급생활안정자금 지원(한강론),생활·금융,대출지원,신용회복위원회 채무조정 또는 개인회생 절차 성실 이행 청년에게 긴급 생활 안정 자금 저리 지원,https://youth.seoul.go.kr/content.do?key=2502130001,19.0,39.0,,,,서울,,,주민등록상 서울시 거주 만 19세~39세 청년. 신복위 채무조정 6개월 이상 성실 상환/완료자 또는 개인회생 인가 후 12개월 이상 성실 상환/완료자.,대출지원,최대 1500만원,최대 60개월,"연 금리 3%의 긴급 자금 대출 (생활비, 의료비 등 활용)",연중 계속,신용회복위원회 홈페이지 소액금융 대출제도(서울특별시 한강론) 메뉴 확인 후 신청 또는 콜센터 상담,신용회복위원회 콜센터 1600-5500,3,
24,저소득시민 부가급여,생활·금융,생활지원,기초생계·의료급여 수급자 가구 추가 지원,https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=40,,,기초생활수급자,,,서울,,,기초생계·의료급여 수급자 (시설수급자 제외) 및 저소득 보훈대상자,현금지원,"중고생교통비(연 43.2만원), 명절위문품비(연 6만원), 월동대책비(연 5만원)",연중,"서울시 자체적으로 중고생교통비를 분기별 지원, 명절(설날·추석)에 위문품비 지원, 11월에 월동대책비 지원",연중,"자동지급 (별도 신청 불필요, 자격 보유자에 한함)",복지정책과 (02-2133-7338),1,
25,희망두배 청년통장,생활·금융,저축지원,서울 거주 일하는 청년이 월 15만원을 2년 또는 3년 저축하면 동일 금액(15만원)을 매칭 적립 지원,https://welfare.dobong.go.kr/dobongBokji/cmmn/file/fileDown.do?atchFileId=83049776b1624ff18cc70606c70534ff&fileSn=2,18.0,34.0,근로소득(본인),세전 월평균 255만원 이하,,서울,근로(최근1년 3개월 이상 또는 현재 3개월 이상),,"서울 거주(주민등록), 본인 근로요건 충족, 부·모(기혼시 배우자) 소득 연 1억 미만 & 재산 9억 미만, 생계·의료·주거·교육급여 수급자 참여 제외(보장시설 포함)",저축매칭,본인 월 15만원 + 매칭 월 15만원(1:1),2년 또는 3년,"2년 만기 720만원+이자 / 3년 만기 1,080만원+이자 (주거·결혼·교육·창업·미래대비 등 목적)",2025.06.09~2025.06.20 18:00,온라인 접수(account.welfare.seoul.kr),서울시 희망두배·꿈나래통장 콜센터 1688-1453,4,
26,서울형 긴급복지 지원,생활·금융,긴급생계,갑작스러운 위기상황으로 생계유지가 곤란한 저소득 위기가구에 생계비·주거비·의료비 등 1회(회계연도 기준) 긴급 지원,https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=85,,,중위소득,100,,서울,,,"국가긴급복지 등 타 제도 지원을 받지 못하는 저소득 위기가구(긴급복지지원법/조례 및 구·동 사례회의가 정한 위기사유 해당). 재산 4억900만원 이하, 금융재산 1,000만원 이하.",현금/현물,"생계지원(73~245만 원), 의료·주거(각 최대 100만 원) 및 교육·기타 지원",1회(회계연도 기준),위기사유 발생 시 동/구 사례회의(긴급 시 선지원 후 사후승인 가능)를 통해 필요 항목(생계·의료·주거·교육·기타 등)을 1회 신속 지원(현금 또는 현물).,연중 수시,"동주민센터 및 구청에 수시 신청(방문/전화). 신청서류: 신청서, 개인정보동의서, (해당 시) 임대인확인서·주거비/의료비 청구서 등",02-2133-7393,3,
27,서울형 기초보장제 생계급여,생활·금융,생계급여,국민기초 법정요건 미충족 비수급 빈곤층 생계비 지원(서울시 자체),https://wis.seoul.go.kr,,,소득평가액(중위소득),48,,서울,,,"서울 주민등록상 서울 거주 실거주자. 소득평가액 기준 중위소득 48% 이하. 재산(일반+자동차+금융-부채) 1.55억원 이하(주거용재산 포함 시 2.54억원 이하). 금융재산 3,600만원 초과 제외. 소득환산율 100% 적용 차량 소유자 제외. 국민기초(생계·의료·주거급여) 최소 1개 이상 수급 시 서울형 지원 불가(맞춤형 우선, 부적합자만 가능). 부양의무자 연소득 1.3억원 초과 또는 일반재산 12억원 초과 시 지원 불가. 30세 미만은 주민센터 별도 상담 필요.",현금지급,가구별 차등(소득대비 차등지원),매월,비수급 빈곤층 최저생활 보장을 위해 소득대비 차등으로 매월 생계급여 지급,연중,주소지 관할 동주민센터 방문 신청(국민기초와 동시신청),02-120 또는 관할 동주민센터,3,
28,서울엄마아빠택시 지원,생활·금융,교통지원,서울시 거주 24개월 이하 영아를 양육하는 실질 양육자에게 영아용 카시트 구비 택시 이용권(포인트) 연 10만원(영아 1인당) 지원,https://umppa.seoul.go.kr/hmpg/sprt/mdtx/bzin/bzmgPageDetail.do?biz_mng_no=3EF7489ACF614F939FEF8514308797D2,,,,,,서울,,,"서울시 주소, 신청일 기준 24개월 이하 영아 양육 실질양육자(부모/조부모/3촌 이내 친인척과 주민등록 등재 등). 다자녀/한부모 등은 추가 포인트(해당 시).",바우처(택시포인트),"기본 연 10만원(영아 1인당) + 운영업체 추가포인트 최대 2만원(조건별: 10만원 적립 5천원, 3개월 내 전액 소진 5천원, 다자녀/한부모 해당 1만원)",포인트 생성일~2025-12-15 23:59(차량하차 기준),"영아 1명당 운영업체(타다/파파) 중 1개 선택 신청 후, 선택 업체 앱 설치/이용(차량 1대당 카시트 1개 지원). 예약 호출 원칙·선택 업체 변경 불가. 사용기한 종료 시 잔여 포인트 소멸.",2025-02-24~2025-11-30,몽땅정보 만능키에서 신청(영아 1명당 운영업체 1개 선택)→선택 업체 앱 설치/가입→포인트 부여 후 이용,다산콜센터 02-120,2,
29,2025년 미래 청년 일자리,일자리,인턴십·일경험,"청년에게 미래 신산업 분야(시·온라인콘텐츠, 제로웨이스트, 소셜벤처)의 일경험을 제공하여 역량 향상을 도모하는 사업",https://youth.seoul.go.kr/atch/fileDown.do?cnncSn=2505020003&cnncTy=bbs&ordr=1,19.0,39.0,,,,서울,미취업자(재학·휴학 불가),,의무복무 제대군인 최대 42세까지 가능. 취업취약계층·제대군인·한국콘텐츠진흥원 교육수료자 가점.,임금·일경험,"월 2,461,811원(세전, 4대보험 포함)",6개월 (2025.6.26~12.31 예정),"시·온라인콘텐츠 315명, 제로웨이스트 120명, 소셜벤처 165명. 총 600명 모집.",2025-05-19 ~ 2025-05-31,청년몽땅정보통(youth.seoul.go.kr) 온라인 신청,"AI온라인콘텐츠 운영사무국 : 02-2662-2368
제로웨이스트 운영사무국 : 070-4420-6643
소셜벤처 운영사무국 : 02-325-9954
서울시 미래청년기획단 : 02-2133-4307",3,
30,2025 서울시 고립·은둔청년 지원사업,마음건강,심리상담·프로그램,고립은둔 상황에 처한 청년들이 삶의 활력과 동기를 얻어 사회로 안전하게 복귀할 수 있도록 심리상담 및 맞춤 프로그램을 제공하는 사업,https://youth.seoul.go.kr/youthConts.do?key=2310100062&sc_pbancSeCd=008&sc_bbsStngSn=221,19.0,39.0,,,,서울,,,"고립청년(정서적·물리적 고립 6개월 이상) 또는 은둔청년(외출 거의 없음, 경제활동 없음 6개월 이상) 및 가족. 의무복무 제대군인 최대 3년 연장.",심리상담·프로그램,무료,2025.1.1~ (상시),"심리지원, 진로탐색/취업역량 프로그램, 대인관계 강화, 온라인 상호작용, 생활습관 형성, 공동생활·방문상담, 부모교육 등",2025-01-01 ~ (상시),청년몽땅정보통(youth.seoul.go.kr) 온라인 신청 → 설문 작성 → 개별 면접 → 선정,서울청년기지개센터 02-6953-2520,2,
31,2025년 전세보증금 반환보증 보증료 지원사업,주거,전세,전세보증금 반환보증 보증료를 최대 40만 원까지 지원해 전세금 미반환 피해를 예방하는 사업,https://housing.seoul.go.kr/site/main/content/sh01_061030,19,39,연소득,5000,제한 없음,서울시,무관,서울시 내 임차보증금 3억 원 이하 주거용 주택,"① 청년: 신청일 기준 만 19~39세, 연소득 5천만 원 이하
② 청년 외 기혼: 부부 합산 연소득 6천만 원 이하
③ 신혼부부: 신청일 기준 혼인신고일 7년 이내(연령 무관), 부부 합산 연소득 7,500만 원 이하
④ 신청일 기준 보증 효력이 유효한 전세보증금 반환보증(HUG, HF, SGI)에 가입 및 보증료 납부 완료자
⑤ 주택 소유자, 외국인, 기존 보증료 지원 기수혜자 등은 제외",현금,"기 납부한 전세보증금 반환보증 보증료 전부 또는 일부, 최대 40만 원 한도
(2025.3.31 이전 보증 가입자는 최대 30만 원)","1회(보증 가입 건당 지원, 상시 신청 가능)","전세보증금 반환보증(HUG, HF, SGI)에 가입하고 보증료를 납부한 임차인을 대상으로,
보증료를 전부 또는 일부 지원(최대 40만 원 한도). 2025.3.31 이후 보증 가입자만 40만 원까지 지원 가능하며,
그 이전 가입자는 최대 30만 원까지 지원. 지원금은 심사 후 15일 이내 신청인 본인 명의 계좌로 지급",2025. 3. 31.~ 상시,"① 정부24(www.gov.kr)에서 ‘국토교통부 전세보증금 반환보증 보증료 지원’ 검색 후 온라인 신청
② HUG 안심전세포털(www.khug.or.kr/jeonse/index.jsp)에서 보증료 지원사업 신청
③ 주민등록상 주소지 관할 구청 방문 접수(오프라인)",국토교통부 (1599-0001),3,
32,신혼부부 임차보증금 이자지원사업,주거,전월세,서울시 신혼·예비신혼부부의 전·월세 임차보증금 대출 이자를 장기 지원해 주거비 부담을 완화하는 사업,https://housing.seoul.go.kr/site/main/content/sh01_0400800,(해당없음),"(해당없음)
",부부합산 연소득,일반 7000 이하 / 청년 혼인 6000 이하,신혼부부 가구(예비신혼 포함),서울 거주 또는 서울 전입 예정,무관,전세 또는 월세 임차 주택 (보증금 3억~4억 이하),혼인 7년 이내 또는 예비 신혼 / 보증금 3~4억 이하 / 무주택,이자지원,최대 연 1.5~3.0% 이자 감면,"기본 2년, 최장 4년 가능","협약은행(국민·하나·신한)에서 임차보증금 대출 실행 시, 기준금리+가산금리로 산정된 대출금리 중 일부를 서울시가 지원. 
부부합산 연소득 구간별로 최대 연 3.0%까지 기본 이자지원, 예비신혼·다자녀·고령 직계존속 동거 등에 따라 최대 연 1.5% 추가지원. 
대출기간 중 자녀 수 증가, 난임 시술 여부 등에 따라 최장 12년까지 이자지원 연장 가능 대출금리에서 이자 차액 지원, 매월 자동 감면 방식",상시 (예산 및 일일 신청 건수에 따라 제한 가능),"1) 협약은행(국민·하나·신한) 지점 방문 후 대출 가능 여부 및 한도 사전 상담
2) 임대차계약 체결
3) 서울주거포털(housing.seoul.go.kr)에서 대출추천서 온라인 신청 및 서류 업로드
4) 서울시가 자격 검토 후 추천서 발급
5) 추천서와 각종 증빙서류를 지참해 협약은행에 대출 신청","협약은행 콜센터(국민 1599-9999, 하나 1599-2222, 신한 1599-8000), 
서울시 다산콜센터 120, 서울시 전월세종합지원센터 02-2133-1200~8(내선 2번) 대출금리에서 이자 차액 지원, 매월 자동 감면 방식",3,
33,신혼부부 임차보증금 보증료 지원,주거,기타,임차보증금 대출 시 발생하는 HUG 보증보험 가입 비용을 현금으로 지원하는 사업,https://housing.seoul.go.kr/site/main/content/sh01_0400800,(해당없음),(해당없음),부부합산 연소득,일반 7000 이하 / 청년 혼인 6000 이하,신혼부부 가구(예비신혼 포함),서울 거주 또는 서울 전입 예정,무관,전세 또는 월세 임차 주택 (보증금 3억~4억 이하),전세 또는 월세 임차 주택 (보증금 3억~4억 이하),보증료 지원,신규 최대 200만 원 / 기존 30만 원,1회 지급,"HUG 보증보험료 환급 또는 감면, 계좌 지급 가능",상시 (예산 소진 시 종료),온라인 신청 (서울주거포털 또는 SH),서울주택도시공사(SH) 1600-3456,3,
