program_name,q,a
청년 임차보증금 이자지원사업,제출 서류를 어디에서 발급받아야 하나요?,"① 주민등록등본: 정부24
② 건강보험자격득실확인서: 국민건강보험 사이버민원센터
③ 가족관계증명서: 대법원 전자가족관계등록시스템
④ 소득금액증명: 홈택스>민원증명>소득금액증명
⑤ 사실증명(신고사실없음): 홈택스>민원증명>사실증명 신청>사실증명(신고사실없음)
⑥ 근로소득원천징수영수증: 회사 또는 홈택스
⑦ 사업소득/기타소득원천징수영수증: 홈택스(로그인 후 MY홈택스>연말정산/장려금/학자금 탭 > 지급명세서등 제출내역)
⑧ 국민연금가입자가입증명: 국민연금공단 홈페이지
전자민원 > 개인민원 > 로그인 후 개인서비스 > 증명서 등 발급 > 가입증명서(국/영문, 첫번째 칸 위치) > 프린트발급 후 스캔 또는 PDF 저장
⑨ 한부모가족증명서(기준중위소득 63%이하 발급가능, 필요시 제출): 정부24
⑩ 자립준비청년 보호종료확인서: 정부24 등
※ ‘붙임2. 상황별 근로 및 소득증명서류'를 반드시 참고"
청년 임차보증금 이자지원사업,이직(또는 신규 입사)한지 한 달이 안 되었습니다. 신청이 가능한가요?,"불가능합니다. 근로소득자의 경우 건강보험자격득실확인서 상 직장가입자 자격 취득일을 기준으로, 1개월 이상 재직한 경우에만 추천서 신청이 가능합니다. 따라서 본인 또는 배우자가 직장가입자라면, 최소 1개월 이상 재직 후 대출 신청이 가능합니다."
청년 임차보증금 이자지원사업,이직(또는 신규 입사)한지 일 년이 안 되었습니다. 서류는 어떻게 준비하나요?,"급여명세서(입사 월부터 현재까지)를 첨부하시거나, 갑종근로소득원천징수영수증을 첨부하시기 바랍니다."
청년 임차보증금 이자지원사업,개인사업자(자영업자)도 신청이 가능한가요?,"개인사업자는 사업자등록증명을 ‘근로증명서류(현재)'란에 첨부하시고, ‘근로청년’으로 신청하시면 됩니다."
청년 임차보증금 이자지원사업,주거급여 대상자는 청년 임차보증금 이자지원 사업 신청이 불가능한가요?,주거급여 지급 대상자는 청년 임차보증금 이자지원사업에 신청이 불가합니다.
청년 임차보증금 이자지원사업,은행에서 신용대출을 이미 받고 있습니다. 청년임차보증금 대출을 추가로 받을 수 있나요?,"대출신청 가능하나, 은행 대출조건에 부합해야 하므로 사전에 반드시 은행 상담을 받으시길 바랍니다."
청년 임차보증금 이자지원사업,"서울시 신혼부부 임차보증금 이자지원, 역세권청년주택 임차보증금 무이자 지원 등을 받고 있는데, 청년 임차보증금 대출을 추가로 받을 수 있나요?","추가대출은 불가하고, 기존에 이용 중인 전세대출을 상환하는 조건으로 취급이 가능합니다."
청년 임차보증금 이자지원사업,"서류 제출시, 휴대폰으로 찍은 사진도 가능한가요?","서류 전체내역이 보이도록 선명하게 촬영된 경우에는 가능 합니다. 내용 분별이 어려울 경우 승인거부 사유가 됩니다. ※단, 아이폰으로 촬영한 jpg,jpeg,heic 파일은 코덱오류로 인해 확인 불가능하므로 다른 파일로 첨부 바랍니다."
청년 임차보증금 이자지원사업,어떤 형식으로 서류를 업로드 하면 되나요?,"PDF를 권장합니다. 단, 1장일 경우에는 JPG도 가능합니다."
청년 임차보증금 이자지원사업,업로드할 파일이 여러 장일 경우 어떻게 올리나요?,"PDF파일로 변경 후, 하나의 PDF로 결합하여 업로드합니다."
청년 임차보증금 이자지원사업,주거포털 신청페이지 상에서 신청 중 다음으로 넘어가는 버튼이 보이지 않는다면?,과거 신청내역이 있는 경우입니다. 마이페이지에서 ‘신청취소’버튼을 눌러 과거 신청내역을 삭제한 후에 다시 시도하길 바랍니다.
청년 임차보증금 이자지원사업,재외국민도 신청이 가능한가요?,재외국민의 경우 보증규정 상 신청이 불가합니다. 주민등록이 되어있는 재외국민도 마찬가지입니다.
청년 임차보증금 이자지원사업,부모소득금액증명은 두 분 모두 제출해야 하나요? 한 분의 소득이 없는 경우에는 어떻게 제출하면 될까요?,"부모님 두 분 모두 제출하셔야 하며, 소득이 없는 경우는 국세청 홈텍스에서 ‘사실증명(신고사실없음)'을 발급받아 제출하시면 됩니다."
청년 임차보증금 이자지원사업,부모님이 이혼/사망/실종 상태인 경우에도 두 분 소득금액증명을 모두 제출해야 하나요?,"① 등본상 함께 거주하고 있는 부(父) 또는 모(母)를 신청자로 한 가족관계증명서(상세)와 (증명서 상 이혼/사망/실종 기재)
② 본인을 신청자로 한 가족관계증명서를 제출하시고,
③ 등본상 함께 거주하고 있는 부(父) 혹은 모(母)의 소득을 제출하시면 됩니다.
※ 부모의 이혼 등으로 인해 등본상 부모님 두 분 중 한 분이 본인과 함께 거주하고 있지 않은 경우에도 두 분의 소득서류 모두 필수 첨부
※ 부모 이혼 시 등본상 부모님 두 분 중 한 분이 본인과 함께 거주하고 있지 않은 경우에도 두 분의 소득서류 모두 필수 첨부"
청년 임차보증금 이자지원사업,"부모님이 이혼 후 재혼하셨는데, 부모 소득서류는 어떻게 제출해야 하나요?","① 등본상 함께 거주하고 있는 친부(父) 혹은 친모(母)를 신청자로 한 가족관계증명서(상세)와 (증명서 상 이혼기재)
② 본인을 신청자로 한 가족관계증명서를 제출하시고,
③ 등본상 함께 거주하고 있는 친부(父) 혹은 친모(母)의 소득을 제출하시면 됩니다."
청년 임차보증금 이자지원사업,근로계약서가 없는데 어떻게 해야 하나요?,"건강보험자격득실확인서 상 직장가입자 기간으로 근로 기간 증명이 가능하시다면 근로계약서를 추가로 첨부하지 않으셔도 됩니다. 다만, 건강보험자격득실확인서 상 직장가입자가 아닌 경우 반드시 재직증명서, 위촉증명서 등의 서류가 제출 되어야 근로기간을 인정받을 수 있습니다."
청년 임차보증금 이자지원사업,재직했던 회사가 폐업하여 경력증명서 등을 받을 수 없는 경우에 어떻게 하나요?,"건강보험자격득실확인서 상 최종 재직 직장의 자격상실일이 명시되어 있는 경우에는, 국민연금 가입자 가입증명으로 경력증명서를 대체하실 수 있습니다."
청년 임차보증금 이자지원사업,추천서 일일 신청 건수에 제한이 있나요?,2021년 4월 1일 이후로 일일 신청 건수가 40건으로 제한됩니다.
청년 임차보증금 이자지원사업,일일 추천서 신청 건수를 제한하는 이유는 무엇인가요?,"서울시는 청년의 높은 주거비 부담을 덜어 드리고자 '17년부터 최대한 많은 신청을 받고 지속적인 이자지원을 해왔으나, 한정된 예산규모 등을 고려하여 불가피하게 일일 신청 건수를 제한하게 되었습니다. 일일 신청 건수 제한으로 불편함을 겪으실 수도 있으나, 지원사업의 중단을 피하고 계속하기 위한 조치이므로 신청자 분들의 양해를 부탁드립니다."
청년 임차보증금 이자지원사업,일일 추천서 신청 건수의 잔여 수량은 어떻게 확인하나요?,서울주거포털에 접속 후 청년 임차보증금 이자지원사업 신청페이지로 들어오시면 팝업 및 신청페이지에서 확인 가능합니다.
청년 임차보증금 이자지원사업,일일 추천서 신청 건수가 초과되어 신청을 못하면 어떻게 하나요?,"일일 신청 건수가 초과되었을 경우, 매일 신청할 수 있으므로 신청이 가능한 날에 신청하시면 됩니다. 단, 신청 완료 후 심사 부적격 사유 발생 시(필요서류 미첨부, 인적 사항 정보 오기재 등) 승인 거부 처리 되며 거부 사유에 따른 보완 후 재심사요청 시에도 재심사요청 시점 기준으로 평일 3일 내외의 심사 기간이 소요되오니 유의하시기 바랍니다."
청년 임차보증금 이자지원사업,추천서 승인 후 입력사항 오기로 인해 내용 수정이 필요하다면 어떻게 하나요?,"필요서류가 첨부되지 않았거나 신청자 인적 사항 및 주소 오기재, 추천서 유효기간 만료 등의 사유로 인해 수정 또는 재신청이 필요할 경우 ‘신청취소'(서울주거 포털 마이페이지에서 가능) 요청을 해야 합니다. 신청취소 처리는 추천서 발급과 마찬가지로 평일 기준 3일 내외 소요됩니다."
청년 임차보증금 이자지원사업,추천서 심사 결과는 어떻게 알 수 있나요?,"심사완료 시 알람이 전송됩니다. 결과는 서울주거포털 내 ‘마이페이지'에서 직접 확인가능 하며, 심사완료 이후 추천서를 직접 출력하시면 됩니다. 신청자의 서류누락 등으로 인한 승인 거부시, 서류 보완 전 일일 신청 건수가 초과될 경우 다음날 신규로 신청하셔야 하니 유의하시기 바랍니다."
청년 임차보증금 이자지원사업,서울시에서 지원해주는 것은 무엇인가요?,"서울시 청년들의 주거비 부담 경감을 목적으로 대출이 가능할 수 있도록 추천서를 발행하며, 연 2%의 이자를 지원합니다."
청년 임차보증금 이자지원사업,어떤 대출상품을 이용해야 지원받을 수 있나요?,서울시로부터 추천서를 발급받아 협약은행(하나은행)에서 해당 협약 대출상품(서울시 청년 임차보증금 이자지원 사업)을 이용하시는 경우에 이자 지원이 가능합니다.
청년 임차보증금 이자지원사업,대출금리는 변동금리인가요? 고정금리인가요?,"신 잔액 COFIX 연동 6개월 변동금리로 운영됩니다. 6개월 변동금리를 적용하게 되며 기준금리에 가산금리 (1.45%)를 더해 대출금리가 결정됩니다.
* 기준금리 : 기준금리는 8개 시중 주요은행의 자금조달 비용 금리를 반영한 대출기준금리로 대출 실행일의 신잔액기준 COFIX 6개월 금리를 적용하게 됩니다."
청년 임차보증금 이자지원사업,본인부담 금리는 어떻게 되나요?,"대출금리에서 서울시 지원금리를 제외하면 됩니다. (본인 의무 부담 최저 금리 1% 적용)
예시) '25.09.15. 기준
2.49% + 1.45% - 2% = 1.94% (6개월 변동금리)"
청년 임차보증금 이자지원사업,"한부모가족, 자립준비청년 추가지원금리는 어떻게 받을 수 있나요?","한부모가족과 자립준비청년을 대상으로 1% 금리를 추가 지원하며, 추천서 신청 시 추가금리 적용을 체크하시면 서류를 통해 자격여부를 확인합니다. 이때, 한부모가족과 자립준비청년 추가지원금리는 중복으로 적용받을 수 없습니다.
※ 한부모가족
자격여부는 추천서 신청일 기준 만 18세미만 자녀와 가족관계증명서 상 모자 또는 부자 관계를 이루고, 주민 등록등본상 동일세대를 구성하고 있는지 여부로 확인 합니다. (공통 제출서류로 갈음)
다만, 자녀와 동일세대를 이루지 않고 있는 경우에는 한부모 가족 증명서를 별도로 제출하셔야 합니다.
※ 자립준비청년
('25.11.20. 신규 대출 신청 및 대출 연장 신청자부터 적용)
「아동복지법」제16조 및 제16조의 3에 따른 가정위탁 보호조치 종료 또는 아동복지시설에서 퇴소한 지 5년 이내(추천서 신청일 기준)의 청년으로서 자격 여부는 보호 종료 확인서로 확인합니다."
청년 임차보증금 이자지원사업,자립준비청년의 경우 보호종료확인서는 어디에서 발급받나요?,정부24에서 보호종료확인서 발급이 가능합니다.
청년 임차보증금 이자지원사업,추천서는 언제까지 유효한가요?,추천서 발급일로부터 3개월이내 대출실행이 완료되어야 합니다.
청년 임차보증금 이자지원사업,추천서 유효기간이 지나도록 주택계약 및 대출신청을 하지 않았는데 추천서를 다시 발급받을 수 있나요?,"기존 신청을 취소하시고, 신규 신청하여 추천서를 재발급 받으실 수 있습니다. 신청취소 승인 기간은 근무일 기준 3일 내외 소요됩니다."
청년 임차보증금 이자지원사업,보증방식은 어떻게 되나요?,한국주택금융공사의 주택금융신용보증서를 이용합니다.
청년 임차보증금 이자지원사업,보증료가 있는지? 얼마인지?,"보증료는 임차보증금에 따라 대출금의 0.02~0.1% (한국 주택금융공사의 보증료 등의 운용규정에 따름, 변동될 수 있음)가 적용될 수 있으며 고객이 부담합니다."
청년 임차보증금 이자지원사업,대출실행 후 대출금 증액 또는 추가대출이 가능한가요?,"최초 대출실행 후 대출금 증액은 불가하며, 임차보증금 증액 등으로 추가대출이 필요한 경우 다른 상품으로 추가 대출 가능 여부를 은행에 확인하시기 바랍니다. 단, 추가 대출금에 대한 이자지원은 되지 않습니다. 자세한 사항은 은행에 문의하시기 바랍니다.
※ 서울시에서 지원하는 전세자금 대출 상품(신혼부부 임차보증금 이자지원사업 등)은 추가 신청이 불가 합니다."
청년 임차보증금 이자지원사업,추천서 발급 관련 상담은 어디에서 받을 수 있나요?,"서울시 추천서 발급을 위한 심사 관련사항은 서울시 다산콜센터 120(☎02-120), 서울시 주택정책과 주택금융 지원팀(☎02-2133-7034/7026)으로 문의하시면 됩니다."
청년 임차보증금 이자지원사업,"추천서 발급 후, 주택을 계약할 때 주의사항이 있을까요?","① 서울시 내 주택, 주거용 오피스텔, 또는 노인복지주택주) 이어야 합니다.
주)「노인복지법」부칙 제4조의3에 따라 2008년 8월 4일 전 「건축법」에 따른 허가나 「주택법」에 따른 사업계획이 승인된 노인복지주택에 한함
② ‘불법 건축물’, ‘다중주택’, ‘공공임대주택'은 신청할 수 없으니 건축물대장을 통해 실제 주택유형을 확인 하시기 바랍니다.
③ 보증금 3억원 이하 월세 90만원 이하 전세·보증부 월세 계약이어야 합니다. ('25.11.20. 신규 대출 신청 및 대출 연장 신청자부터 적용)
④ 그 외에도 부동산 등기사항전부증명서 등 권리관계를 확인하셔서, 안전한 주택인지 확인하시는 것이 좋습니다.
⑤ 임대차계약 전 대출(보증)이 가능한 주택인지 여부를 부동산 등기사항전부증명서, 건축물대장 등을 지참하시어 하나은행에서 사전상담 받으시는 것을 권고드립니다.
※ 근린생활시설 내 주택용도로 사용하는 공간은, 경우에 따라 대출이 거부될 수 있습니다.
※ 계약서상 주택용도가 ‘다가구', ‘원룸'으로 기재된 경우 실제 주택유형은 ‘다중주택’일 수 있으니 반드시 건축물 대장을 확인하시기 바랍니다.
※ 대출 심사기준에 맞지 않는 경우, 대출이 불가하오니 주택계약 시에는 꼼꼼하게 기준을 점검하시길 바랍니다."
청년 임차보증금 이자지원사업,거주 중인 주택계약서로 신청이 가능한가요?,"거주 중인 주택의 계약이 신규계약이라면 임대차계약서 상 잔금지급일과 주민등록전입일 중 빠른 날로부터 3개월 이내면 신청 가능합니다.
거주 중인 주택의 계약이 연장계약이라면 주민등록전입일로부터 3개월 이상 경과 후, 연장계약 시작일 기준 3개월 내에 신청 가능합니다."
청년 임차보증금 이자지원사업,보증부 월세인 경우에도 신청가능한가요?,"보증금 3억원, 월세 90만원 이하인 주택 및 주거용 오피 스텔이라면 신청 가능합니다. ('25.11.20. 신규 대출 신청 및 대출 연장 신청자부터 적용)"
청년 임차보증금 이자지원사업,임대차계약 시 가족간 거래도 가능한지?,본인 및 배우자의 직계존비속 간 거래는 신청불가합니다.
청년 임차보증금 이자지원사업,"다중주택, 불법 건축물이나 공공임대주택은 신청이 불가한 것으로 알고 있는데, 계약할 때 어떻게 확인하면 될까요?","부동산 등기사항전부증명서와 건축물대장을 통해 확인이 가능합니다.
※ 주 용도가 '단독주택(다중주택)'이라고 표기 되어있는 주택은 다중주택으로, 지원 대상 주택이 아닙니다."
청년 임차보증금 이자지원사업,공동명의 계약도 가능한가요?,"서울시 청년 임차보증금 대출은, 지원자 단독 계약만 가능하며 공동명의 계약의 경우 대출 불가능한 점을 반드시 인지 바랍니다."
청년 임차보증금 이자지원사업,"근린생활시설 및 주택, 상가주택도 대출이 가능한가요?","부동산 등기사항전부증명서 및 건축물대장상 해당 층의 용도가 주택으로서, 실제 주거용으로 이용하는 경우 가능합니다."
청년 임차보증금 이자지원사업,주거용 오피스텔인지 어떻게 확인하나요?,"전입신고가 가능한 오피스텔이면 주거용 오피스텔로, 청년 임차보증금 이자지원 사업 대상주택입니다."
청년 임차보증금 이자지원사업,집주인(임대인)의 동의가 필요한가요? 혹시 집주인(임대인)에게 다른 의무 사항이 발생하나요?,"본 대출에 대해 임대인의 동의나 의무 사항은 없습니다. 단, 임대차계약 사실 확인을 위해 대출심사과정에서 은행이 임대인에게 연락하거나, 주택조사를 하기위해 방문하는 경우에 한해 임대인의 협조가 필요합니다.
계약 전, 청년임차보증금 사업을 통한 융자를 통해 보증금을 충당할 것을 미리 임대인에게 알리고, 가능하다면 계약서 특약사항에 ‘임대인은 전세자금대출 (청년임차보증금사업대출)'에 협조하기로 한다.'는 조항을 넣으시면 좋습니다.
대출금은 임대인의 통장으로 입금되지만, 대출금 상환의무는 세입자에게 있습니다. 임대인은 은행이 아닌 ‘세입자(임차인)'에게 보증금을 반환하면 됩니다."
청년 임차보증금 이자지원사업,대출기간 중 주택을 구입하면 어떻게 되나요?,"대출 약정기간까지는 이자지원이 지속되며, 연장계약 및 임대차계약 종료시 이자지원이 중단됩니다. 아울러, 정부의 부동산 정책과 관련하여 구입한 주택의 조건에 따라 전세대출이 즉시 상환 대상이 될 수 있으므로 주택 구입 전 반드시 은행 사전상담을 하기 바랍니다."
청년 임차보증금 이자지원사업,유주택자가 주택을 처분하고 대출을 신청하는 경우 무주택 여부를 어떻게 확인하나요?,"대출신청 시 소유 주택의 처분계획, 대출실행 전 소유권 이전등기 접수증을 제출하여 주택처분 사실을 입증해야 합니다. 자세한 사항은 하나은행에 문의하시기 바랍니다."
청년 임차보증금 이자지원사업,주택수 산정기준이 궁금합니다. 소유 중인 주택을 처분할 계획이 없으면 무조건 지원이 불가능한가요?,"소유 중인 주택이 한국주택금융공사 규정 상 주택보유수 산정 제외대상에 해당되면, 주택을 소유하고 있더라도 무주택자 로서 사업 지원이 가능합니다. 단, 정부의 부동산 정책 및 한국주택금융공사 보증규정 개정 등의 변경에 따라 주택보유수 산정 제외대상 상세내용은 달라질 수 있으니, 은행을 통해 반드시 사전문의 해주시기 바랍니다.
○ 주택보유수 산정 제외 대상(신규취급 시) '25.5.기준
1. 「국토의 계획 및 이용에 관한 법률」에 따른 도시지역이 아닌 지역 또는 면의 행정구역(수도권은 제외한다)에 건축 되어 있는 주택으로서 다음 하나에 해당하는 주택의 소유자 가 해당 주택건설지역에 거주(상속으로 주택 취득한 경우 에는 피상속인이 거주한 것을 상속인이 거주한 것으로 본다) 하다가 다른 주택건설지역으로 이주한 경우
가. 사용승인후 20년 이상 경과된 단독주택
나. 85㎡ 이하의 단독주택
다. 소유자의 「가족관계의 등록에 관한 법률」에 따른 최초 등록지기준에 건축되어 있는 주택으로서 직계존속 또는 배우자로부터 상속 등에 의하여 이전받은 단독주택
2. 개인주택사업자 분양을 목적으로 주택을 건설하여 이를 분양 완료하였거나 그 지분을 처분한 경우
3. 세무서에 사업자로 등록한 개인사업자가 그 소속근로자의 숙소로 사용하기 위하여 주택을 건설하여 소유하고 있거나 정부시책의 일환으로 근로자에게 공급할 목적으로 사업계획 승인을 얻어 건설한 주택을 공급받아 소유하고 있는 경우
4. 20㎡ 이하의 주택을 소유하고 있는 경우. 이 경우 1호 또는 1세대를 주택보유수에서 제외하여 산정한다.
5. 건물등기사항전부증명서 또는 건축물관리대장의 공부상 주택 으로 등재되어 있으나 주택이 낡아 사람이 살지 아니하는 폐가 이거나 주택이 멸실되었거나 주택이 아닌 다른 용도로 사용되고 있는 경우 실제 사용하고 있는 용도로 공부를 정리한 경우
6. 무허가건물을 소유하고 있는 경우
7. 소득세법 시행령 제 154조, 제155조에 따른 어린이집으로 확인되는 경우"
청년 임차보증금 이자지원사업,"신축아파트로 준공되고, 미등기 상태인 경우도 신청 가능한가요?","정당한 임대인과의 계약 여부를 확인하기 위해 ‘임대인 분양계약서', ‘입주안내문’, ‘사용승인 확인서'를 제출해야 할 수 있습니다. 자세한 사항은 하나은행에 문의 바랍니다."
청년 임차보증금 이자지원사업,"입주권, 분양권이 있는 경우 신청이 가능한가요?","한국주택금융공사 규정에 따라 본인(배우자포함)명의 소유권보존(이전)등기 또는 잔금대출이 확인되는 분양권 (입주권)은 주택보유수에 포함됨에 따라 신청이 불가합니다. 단, 한국주택금융공사 보증규정 개정 등의 변경에 따라 상세내용은 달라질 수 있으니 은행을 통해 반드시 사전 문의 해주시기 바랍니다. 또한, 대출기간 종료 후 연장 시 주택보유 여부를 다시 확인하게 됩니다. 이와 관련한 사항은 사전에 반드시 은행에 확인하여 주시기 바랍니다."
청년 임차보증금 이자지원사업,임대차 계약기간 만료일 전 갱신계약을 한 경우 신청이 가능한지?,보증관련 규정에 따라 보증금의 변경(증감)이 있는 경우나 임대인이 변경되는 경우에 한해 갱신계약 변경사유가 인정됩니다. (계약기간 변경만으로는 변경/갱신 계약으로 인정 불가)
청년 임차보증금 이자지원사업,"추천서 발급 이후에 추천서 심사 때와는 다른 상황(근로, 혼인 등)으로 바뀌었는데, 추천서를 다시 발급받아야 하나요?","추천서 수정은 필요 없습니다. 다만, 은행 대출 심사 시에는 현재 시점을 기준으로 진행됨을 유의하십시오."
청년 임차보증금 이자지원사업,대출금 지급 방식은 어떻게 되나요? / 잔금일 이후에 대출실행이 되었는데 대출금은 누구에게 입금되나요?,"대출금은 임대인 계좌로 입금되는 것이 원칙이며, 임대차계약사실이 확인되고 영수증으로 잔금 납입사실이 확인된 경우 임차인(신청인 본인)계좌로 입금 가능합니다."
청년 임차보증금 이자지원사업,"주택도시기금으로 운영되는 버팀목 전세대출, 중소기업취업청년세대출 등 타 대출받고있을 때에도 이자지원이 가능한가요?",해당사업은 한국주택금융공사의 보증을 담보로 협약은행인 하나은행에서 협약된 대출을 실행하는 경우 서울시에서 대출이자의 일부를 지원해드리는 제도입니다. 전세자금대출과의 동시대출은 보증사의 보증한도 등 규정에 따라 결정됩니다. 네 가능합니다.
청년 임차보증금 이자지원사업,변경 계약 및 갱신(연장)계약의 경우에도 대출이 가능한가요?,"신규 혹은 갱신 주택계약일 이후 3개월 내에 하나은행에 대출신청을 하셔야 합니다.
※ 3개월 이후에 대출신청을 하기 위해서는 임대인이 변경 되거나 보증금액이 변경되는 내용의 주택 재계약이 필요합니다.
※ 계약 전, 필요시 은행에 방문하시어 상담하시기 바랍니다."
청년 임차보증금 이자지원사업,은행 방문시 필요한 서류는 어떤 것이 있을까요?,"공고문의 [붙임3]을 참고 부탁드립니다. 자세한 사항은, 하나은행 콜센터(☎1599-2222)로 문의해 주세요."
청년 임차보증금 이자지원사업,대출심사에 소요되는 기간이 어떻게 되나요?,서류접수 후 약 2주~1달 정도 소요됩니다.
청년 임차보증금 이자지원사업,"하나원큐 어플을 이용해서 또는 은행에 방문해서 대출 가능하다고 확인 받았는데 (대출가능여부 조회), 최종 대출심사에서 거절당할 수도 있나요?","대출가능여부 조회 시, 입력하신 정보와 제출하신 서류 (스크래핑 서류포함)상의 내용이 다른 경우 대출가능 한도는 변경될 수 있습니다. 대출가능여부 조회 결과와 최종 대출심사 결과가 다를 수 있습니다. 따라서, 주택을 계약하시기 전에 주택조건, 개인신용과 관련한 내용은 은행에서 상세히 상담받으시기를 권장드립니다. 따라서, 주택을 계약하시기 전에 주택조건, 개인신용 및 대출한도 관련한 내용을 은행에서 상세히 상담 받으시기를 권장드립니다."
청년 임차보증금 이자지원사업,추천서를 발급받고 임차계약을 마친 뒤에 만약 대출이 되지 않으면 어떻게 하지요?,"추천서 발급 후, 임대차계약 및 은행대출 신청 전 하나 은행APP에서 대출가능여부를 확인하시거나 은행지점을 방문하셔서 자세한 상담을 받으시고 대출가능여부를 사전에 확인하시기 바랍니다."
